frame,detection_id,confidence,class_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,width,height,area
1,0,0.91748046875,0,1341.89990234375,615.2999877929688,1434.2999267578125,705.5999755859375,1388.099853515625,660.449951171875,92.4000244140625,90.29998779296875,8343.720703125
1,1,0.91064453125,0,1323.0,778.0499877929688,1436.39990234375,896.699951171875,1379.699951171875,837.375,113.39990234375,118.64996337890625,13454.89453125
1,2,0.90283203125,0,2385.599853515625,280.0874938964844,2469.599853515625,361.98748779296875,2427.599853515625,321.0374755859375,84.0,81.89999389648438,6879.599609375
1,3,0.9013671875,0,2293.199951171875,474.0749816894531,2377.199951171875,562.2749633789062,2335.199951171875,518.1749877929688,84.0,88.19998168945312,7408.79833984375
1,4,0.9013671875,0,2188.199951171875,493.4999694824219,2289.0,586.949951171875,2238.60009765625,540.2249755859375,100.800048828125,93.44998168945312,9419.7626953125
1,5,0.8974609375,0,1101.449951171875,49.48124694824219,1191.75,133.4812469482422,1146.5999755859375,91.48124694824219,90.300048828125,84.0,7585.2041015625
1,6,0.89306640625,0,451.4999694824219,973.3499755859375,541.7999877929688,1069.949951171875,496.64996337890625,1021.6499633789062,90.30001831054688,96.5999755859375,8722.9794921875
1,7,0.88818359375,0,425.2499694824219,872.5499877929688,507.14996337890625,952.3499755859375,466.199951171875,912.449951171875,81.89999389648438,79.79998779296875,6535.61865234375
1,8,0.88623046875,0,1744.0499267578125,858.3749389648438,1836.449951171875,950.7749633789062,1790.25,904.574951171875,92.4000244140625,92.4000244140625,8537.7646484375
1,9,0.87353515625,0,340.7249755859375,620.0249633789062,421.5749816894531,693.5249633789062,381.14996337890625,656.7749633789062,80.85000610351562,73.5,5942.4755859375
1,10,0.86767578125,0,546.0,790.6499633789062,644.699951171875,876.7499389648438,595.3499755859375,833.699951171875,98.699951171875,86.0999755859375,8498.0634765625
1,11,0.857421875,0,1409.0999755859375,837.8999633789062,1522.4998779296875,948.1499633789062,1465.7999267578125,893.0249633789062,113.39990234375,110.25,12502.3388671875
1,12,0.8505859375,0,401.6249694824219,558.5999755859375,480.3749694824219,630.0,440.9999694824219,594.2999877929688,78.75,71.4000244140625,5622.751953125
1,13,0.84765625,0,574.875,529.7249755859375,663.074951171875,609.5249633789062,618.9749755859375,569.625,88.199951171875,79.79998779296875,7038.35498046875
1,14,0.84521484375,0,1194.89990234375,758.0999755859375,1325.0999755859375,893.5499877929688,1260.0,825.824951171875,130.2000732421875,135.45001220703125,17635.6015625
1,15,0.84228515625,0,1969.7999267578125,1306.199951171875,2058.0,1398.5999755859375,2013.89990234375,1352.39990234375,88.2000732421875,92.4000244140625,8149.68896484375
1,16,0.83837890625,0,1814.39990234375,961.7999267578125,1906.7999267578125,1043.699951171875,1860.599853515625,1002.7499389648438,92.4000244140625,81.9000244140625,7567.564453125
1,17,0.80126953125,0,1657.949951171875,1035.2999267578125,1746.14990234375,1127.699951171875,1702.0499267578125,1081.5,88.199951171875,92.4000244140625,8149.677734375
1,18,0.794921875,0,1138.199951171875,1099.3499755859375,1251.5999755859375,1216.949951171875,1194.89990234375,1158.14990234375,113.4000244140625,117.5999755859375,13335.83984375
1,19,0.7822265625,0,442.5749816894531,1395.449951171875,526.574951171875,1475.2498779296875,484.574951171875,1435.349853515625,83.99996948242188,79.7999267578125,6703.19140625
1,20,0.76953125,0,909.824951171875,999.074951171875,1002.2249755859375,1092.0,956.0249633789062,1045.5374755859375,92.4000244140625,92.925048828125,8586.2763671875
1,21,0.7470703125,0,268.5374755859375,1430.0999755859375,352.0124816894531,1505.699951171875,310.27496337890625,1467.89990234375,83.47500610351562,75.5999755859375,6310.70849609375
2,0,0.9228515625,0,1341.89990234375,614.7749633789062,1434.2999267578125,705.074951171875,1388.099853515625,659.9249267578125,92.4000244140625,90.29998779296875,8343.720703125
2,1,0.91064453125,0,1323.0,776.9999389648438,1436.39990234375,896.699951171875,1379.699951171875,836.8499755859375,113.39990234375,119.70001220703125,13573.9697265625
2,2,0.900390625,0,2293.199951171875,473.02496337890625,2377.199951171875,561.2249755859375,2335.199951171875,517.125,84.0,88.20001220703125,7408.80078125
2,3,0.8994140625,0,1102.5,48.75937271118164,1190.699951171875,132.8249969482422,1146.5999755859375,90.79218292236328,88.199951171875,84.06562805175781,7414.58447265625
2,4,0.89892578125,0,425.2499694824219,871.4999389648438,507.67498779296875,951.2999267578125,466.46246337890625,911.39990234375,82.42501831054688,79.79998779296875,6577.515625
2,5,0.89794921875,0,2385.599853515625,280.3499755859375,2469.599853515625,361.1999816894531,2427.599853515625,320.77496337890625,84.0,80.85000610351562,6791.400390625
2,6,0.89599609375,0,2188.199951171875,493.4999694824219,2289.0,588.0,2238.60009765625,540.75,100.800048828125,94.50003051757812,9525.607421875
2,7,0.890625,0,450.9749755859375,973.3499755859375,542.324951171875,1068.89990234375,496.64996337890625,1021.1249389648438,91.3499755859375,95.5499267578125,8728.4833984375
2,8,0.8837890625,0,1744.0499267578125,857.324951171875,1836.449951171875,950.7749633789062,1790.25,904.0499267578125,92.4000244140625,93.45001220703125,8634.783203125
2,9,0.87255859375,0,341.2499694824219,620.0249633789062,422.0999755859375,693.5249633789062,381.67498779296875,656.7749633789062,80.85000610351562,73.5,5942.4755859375
2,10,0.869140625,0,546.0,790.6499633789062,644.699951171875,876.7499389648438,595.3499755859375,833.699951171875,98.699951171875,86.0999755859375,8498.0634765625
2,11,0.8583984375,0,1409.0999755859375,837.8999633789062,1522.4998779296875,949.199951171875,1465.7999267578125,893.5499267578125,113.39990234375,111.29998779296875,12621.408203125
2,12,0.8505859375,0,575.3999633789062,529.199951171875,663.5999755859375,609.0,619.5,569.0999755859375,88.20001220703125,79.800048828125,7038.365234375
2,13,0.8505859375,0,401.0999755859375,557.5499877929688,480.89996337890625,628.949951171875,440.9999694824219,593.25,79.79998779296875,71.39996337890625,5697.71630859375
2,14,0.84130859375,0,1194.89990234375,757.574951171875,1325.0999755859375,893.0249633789062,1260.0,825.2999267578125,130.2000732421875,135.45001220703125,17635.6015625
2,15,0.83935546875,0,1969.7999267578125,1306.199951171875,2058.0,1398.5999755859375,2013.89990234375,1352.39990234375,88.2000732421875,92.4000244140625,8149.68896484375
2,16,0.83056640625,0,1815.449951171875,960.7499389648438,1907.849853515625,1043.699951171875,1861.64990234375,1002.2249755859375,92.39990234375,82.95001220703125,7664.5732421875
2,17,0.794921875,0,1658.9998779296875,1035.2999267578125,1747.199951171875,1125.5999755859375,1703.099853515625,1080.449951171875,88.2000732421875,90.300048828125,7964.470703125
2,18,0.787109375,0,1138.199951171875,1099.3499755859375,1251.5999755859375,1216.949951171875,1194.89990234375,1158.14990234375,113.4000244140625,117.5999755859375,13335.83984375
2,19,0.775390625,0,442.5749816894531,1395.449951171875,526.574951171875,1475.2498779296875,484.574951171875,1435.349853515625,83.99996948242188,79.7999267578125,6703.19140625
2,20,0.77099609375,0,909.2999877929688,997.4999389648438,1002.7499389648438,1092.0,956.0249633789062,1044.75,93.449951171875,94.50006103515625,8831.0263671875
2,21,0.73046875,0,265.3874816894531,1427.9998779296875,354.11248779296875,1505.699951171875,309.75,1466.849853515625,88.72500610351562,77.7000732421875,6893.939453125
3,0,0.91943359375,0,1341.89990234375,614.7749633789062,1434.2999267578125,705.074951171875,1388.099853515625,659.9249267578125,92.4000244140625,90.29998779296875,8343.720703125
3,1,0.9091796875,0,1320.89990234375,778.0499877929688,1436.39990234375,897.7499389648438,1378.64990234375,837.8999633789062,115.5,119.699951171875,13825.3447265625
3,2,0.904296875,0,1101.449951171875,49.08749771118164,1191.75,133.34999084472656,1146.5999755859375,91.21874237060547,90.300048828125,84.26249694824219,7608.90771484375
3,3,0.90087890625,0,2385.599853515625,280.61248779296875,2469.599853515625,361.98748779296875,2427.599853515625,321.29998779296875,84.0,81.375,6835.5
3,4,0.89794921875,0,2293.199951171875,473.8124694824219,2377.199951171875,561.75,2335.199951171875,517.78125,84.0,87.93753051757812,7386.75244140625
3,5,0.8974609375,0,424.7249755859375,872.5499877929688,507.14996337890625,952.3499755859375,465.9374694824219,912.449951171875,82.42498779296875,79.79998779296875,6577.51318359375
3,6,0.89599609375,0,2188.199951171875,493.4999694824219,2289.0,588.0,2238.60009765625,540.75,100.800048828125,94.50003051757812,9525.607421875
3,7,0.88916015625,0,450.9749755859375,973.3499755859375,542.324951171875,1069.949951171875,496.64996337890625,1021.6499633789062,91.3499755859375,96.5999755859375,8824.4052734375
3,8,0.88037109375,0,1744.0499267578125,858.8999633789062,1836.449951171875,951.2999267578125,1790.25,905.0999755859375,92.4000244140625,92.39996337890625,8537.7587890625
3,9,0.87109375,0,546.0,790.6499633789062,644.699951171875,876.7499389648438,595.3499755859375,833.699951171875,98.699951171875,86.0999755859375,8498.0634765625
3,10,0.869140625,0,340.7249755859375,620.5499877929688,421.5749816894531,694.0499877929688,381.14996337890625,657.2999877929688,80.85000610351562,73.5,5942.4755859375
3,11,0.86083984375,0,1409.0999755859375,837.8999633789062,1522.4998779296875,949.199951171875,1465.7999267578125,893.5499267578125,113.39990234375,111.29998779296875,12621.408203125
3,12,0.84765625,0,401.0999755859375,557.5499877929688,480.3749694824219,630.0,440.73748779296875,593.7750244140625,79.27499389648438,72.45001220703125,5743.47412109375
3,13,0.84521484375,0,574.875,529.7249755859375,663.074951171875,609.5249633789062,618.9749755859375,569.625,88.199951171875,79.79998779296875,7038.35498046875
